gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,some college,standard,completed,56,73,87
female,group C,associate's degree,standard,none,86,89,75
male,group C,some high school,standard,completed,84,84,82
female,group E,associate's degree,free/reduced,completed,50,57,43
female,group C,some college,free/reduced,completed,82,67,77
female,group C,some college,standard,none,41,41,46
female,group D,some high school,free/reduced,none,63,65,59
male,group C,associate's degree,standard,completed,100,100,97
female,group D,bachelor's degree,standard,completed,77,71,58
male,group E,high school,standard,completed,61,68,67
female,group E,some high school,standard,none,72,82,81
female,group B,some high school,free/reduced,none,46,39,36
female,group E,associate's degree,standard,none,67,67,65
male,group C,associate's degree,standard,completed,76,83,76
female,group B,some college,standard,none,60,68,63
male,group C,high school,standard,none,68,67,60
female,group E,some college,free/reduced,completed,82,84,76
male,group C,some college,standard,none,71,71,68
female,group C,some college,standard,completed,63,86,77
male,group D,master's degree,standard,none,76,86,74
male,group B,some high school,standard,none,64,65,60
female,group A,associate's degree,standard,none,59,69,66
male,group B,some college,free/reduced,completed,56,80,77
female,group B,some college,standard,none,69,69,55
female,group B,associate's degree,free/reduced,none,62,62,73
female,group B,associate's degree,free/reduced,completed,56,46,57
female,group D,master's degree,free/reduced,none,76,80,66
female,group B,some high school,standard,none,61,62,48
female,group C,some high school,standard,none,64,43,61
female,group E,associate's degree,standard,none,67,72,76
female,group C,some college,free/reduced,completed,70,85,69
female,group D,high school,standard,none,69,87,82
female,group B,some high school,standard,none,61,67,60
female,group B,some high school,standard,none,71,71,70
male,group A,bachelor's degree,standard,completed,91,90,86
male,group B,high school,standard,none,75,73,66
female,group B,high school,standard,none,63,66,58
female,group B,high school,free/reduced,none,66,60,59
female,group A,high school,standard,none,86,68,81
female,group B,some high school,standard,none,65,73,56
female,group C,some college,standard,none,40,45,52
female,group B,some high school,standard,completed,77,85,74
female,group C,associate's degree,standard,none,94,95,98
female,group C,high school,free/reduced,completed,71,67,70
male,group D,some college,standard,completed,66,64,64
female,group A,bachelor's degree,free/reduced,none,67,75,77
male,group D,associate's degree,standard,none,73,67,57
female,group D,some college,standard,none,89,82,77
female,group A,high school,free/reduced,completed,50,48,49
male,group E,high school,standard,none,74,82,67
female,group E,associate's degree,standard,none,89,84,75
male,group A,master's degree,standard,none,70,66,76
female,group B,associate's degree,standard,completed,83,92,87
female,group D,some college,free/reduced,completed,84,100,85
male,group D,associate's degree,standard,none,73,83,76
female,group B,some college,free/reduced,completed,57,56,60
male,group B,some high school,free/reduced,none,62,89,69
female,group C,some college,standard,none,75,62,72
male,group C,master's degree,free/reduced,completed,69,81,85
male,group C,some high school,standard,none,72,69,65
female,group C,associate's degree,free/reduced,none,68,74,57
female,group C,high school,standard,none,88,85,76
male,group D,some college,free/reduced,completed,68,69,67
female,group A,some high school,standard,completed,59,55,57
female,group B,some college,standard,none,62,64,64
female,group D,associate's degree,standard,completed,89,76,85
male,group E,high school,free/reduced,none,70,79,75
male,group C,associate's degree,standard,none,73,76,77
male,group C,associate's degree,standard,none,66,53,60
male,group B,bachelor's degree,free/reduced,none,91,100,94
male,group C,high school,free/reduced,none,57,64,58
male,group C,some college,free/reduced,completed,74,81,76
male,group B,some high school,free/reduced,none,54,59,53
male,group B,master's degree,free/reduced,none,74,80,80
male,group C,bachelor's degree,free/reduced,none,77,70,73
female,group A,some college,standard,none,91,87,81
male,group C,bachelor's degree,standard,completed,97,89,97
female,group B,some college,free/reduced,none,71,86,76
female,group C,associate's degree,standard,none,67,72,59
female,group B,some high school,standard,completed,70,65,72
male,group E,associate's degree,standard,none,84,72,80
male,group C,some high school,free/reduced,none,70,72,63
male,group D,bachelor's degree,standard,none,69,76,65
male,group D,associate's degree,standard,none,79,85,89
female,group C,associate's degree,standard,completed,87,96,95
male,group A,some high school,standard,completed,67,64,48
male,group C,high school,standard,none,62,55,47
male,group C,high school,standard,completed,77,73,71
male,group D,high school,standard,none,72,60,62
male,group C,some high school,free/reduced,none,60,61,50
female,group B,bachelor's degree,standard,none,88,93,89
male,group B,some college,free/reduced,none,72,66,76
female,group C,high school,free/reduced,none,60,76,59
male,group D,some college,standard,none,50,54,57
female,group C,some college,free/reduced,completed,56,51,64
male,group C,associate's degree,standard,none,78,81,81
male,group E,some college,free/reduced,none,38,42,39
female,group C,bachelor's degree,standard,none,87,90,73
female,group B,some college,free/reduced,none,59,61,63
female,group B,master's degree,standard,none,100,100,100
male,group B,bachelor's degree,standard,none,100,100,100
female,group B,high school,standard,completed,77,78,83
male,group B,bachelor's degree,free/reduced,none,65,57,71
male,group B,some high school,free/reduced,none,76,71,74
female,group B,associate's degree,standard,none,96,100,96
female,group B,some college,standard,none,51,46,50
male,group E,bachelor's degree,standard,none,51,50,36
male,group A,bachelor's degree,free/reduced,completed,64,68,66
female,group C,associate's degree,standard,none,60,72,84
female,group C,associate's degree,free/reduced,none,70,60,66
female,group E,high school,standard,none,79,80,77
male,group B,some high school,standard,none,62,53,43
male,group C,some college,standard,none,43,42,50
male,group E,some high school,standard,completed,77,84,93
male,group E,associate's degree,standard,none,62,63,54
male,group D,high school,standard,completed,45,58,51
male,group B,master's degree,free/reduced,none,72,73,68
female,group B,associate's degree,standard,completed,90,86,92
male,group D,bachelor's degree,standard,none,79,72,74
male,group E,some high school,standard,completed,63,73,72
male,group C,bachelor's degree,standard,none,73,82,73
female,group C,bachelor's degree,standard,completed,68,74,95
male,group B,some college,standard,none,59,55,45
male,group D,associate's degree,standard,none,67,66,51
female,group B,associate's degree,standard,none,81,73,73
male,group C,some high school,standard,completed,77,79,67
male,group C,some college,standard,none,75,64,61
male,group C,some college,standard,completed,74,56,59
male,group B,some high school,standard,none,63,67,56
male,group B,high school,free/reduced,none,35,35,29
female,group C,some high school,standard,none,63,70,69
female,group B,some high school,free/reduced,completed,77,87,82
female,group C,some high school,standard,completed,56,51,54
male,group B,master's degree,free/reduced,completed,74,73,78
male,group C,some college,free/reduced,none,64,62,62
male,group C,master's degree,standard,none,91,100,89
female,group A,some college,free/reduced,completed,60,60,68
male,group C,high school,standard,none,57,59,46
male,group B,some college,standard,completed,55,48,39
female,group A,some college,free/reduced,completed,60,78,75
male,group E,some high school,free/reduced,completed,97,92,95
female,group C,associate's degree,standard,completed,78,80,94
female,group D,high school,standard,none,73,74,66
female,group B,associate's degree,standard,none,68,76,78
male,group D,associate's degree,standard,completed,82,83,77
male,group D,some high school,free/reduced,none,53,46,51
male,group C,some high school,standard,completed,86,76,92
male,group C,associate's degree,standard,completed,75,83,69
male,group C,some college,standard,none,72,69,70
male,group C,some high school,standard,completed,55,67,74
male,group E,master's degree,standard,none,91,93,93
female,group D,some high school,standard,none,81,76,81
male,group E,associate's degree,free/reduced,none,61,51,54
female,group B,master's degree,free/reduced,none,80,96,82
male,group D,high school,standard,none,57,62,60
male,group E,some high school,free/reduced,none,53,57,36
male,group B,some high school,free/reduced,completed,56,55,51
female,group A,high school,free/reduced,completed,31,52,42
female,group D,some high school,standard,none,78,65,74
female,group C,associate's degree,standard,none,50,53,53
female,group D,some high school,standard,completed,66,58,60
male,group B,some college,standard,none,39,46,48
female,group D,master's degree,standard,none,57,81,73
male,group B,associate's degree,standard,none,72,63,75
male,group B,associate's degree,standard,none,70,64,66
female,group B,high school,free/reduced,none,37,54,48
female,group D,associate's degree,standard,completed,58,79,63
female,group D,some college,standard,none,93,75,77
female,group C,some college,free/reduced,none,53,62,53
female,group C,some high school,free/reduced,none,66,65,68
female,group E,bachelor's degree,free/reduced,none,51,71,50
female,group C,some college,free/reduced,completed,57,65,67
female,group D,high school,standard,completed,90,93,94
male,group C,high school,free/reduced,completed,72,69,76
female,group C,some college,standard,none,63,51,60
female,group C,bachelor's degree,standard,completed,83,88,90
male,group C,associate's degree,standard,completed,77,78,72
female,group D,associate's degree,standard,completed,78,78,77
male,group C,some high school,standard,none,56,62,68
male,group B,some college,standard,none,71,87,75
female,group E,some college,free/reduced,none,52,66,74
male,group C,some high school,standard,completed,49,66,59
male,group C,high school,standard,none,61,53,61
male,group E,associate's degree,free/reduced,none,49,52,42
male,group D,some high school,standard,completed,54,54,48
female,group B,some college,standard,completed,54,61,48
male,group E,high school,free/reduced,completed,64,84,82
female,group D,some high school,standard,none,55,63,48
male,group C,high school,standard,completed,72,83,80
male,group B,master's degree,free/reduced,none,64,59,65
male,group D,associate's degree,standard,none,52,47,50
male,group D,master's degree,standard,none,93,100,81
female,group C,some college,free/reduced,none,69,74,64
female,group E,some high school,free/reduced,none,51,57,49
male,group D,some college,standard,completed,70,92,73
male,group B,some college,standard,none,64,62,52
female,group C,bachelor's degree,standard,completed,77,79,70
male,group B,some high school,standard,none,54,37,40
male,group D,some college,standard,none,47,53,47
male,group A,some high school,standard,none,71,57,47
female,group C,high school,free/reduced,none,53,63,50
female,group D,associate's degree,standard,none,71,60,65
female,group E,some college,standard,none,55,55,50
male,group C,some college,standard,none,65,66,75
male,group D,some college,free/reduced,none,64,70,77
female,group B,some college,standard,none,65,63,62
female,group D,associate's degree,standard,completed,81,89,84
female,group B,bachelor's degree,free/reduced,none,57,58,64
female,group C,master's degree,standard,completed,99,89,95
male,group D,associate's degree,standard,completed,65,65,56
female,group B,high school,standard,completed,86,82,80
male,group B,associate's degree,standard,completed,98,95,92
female,group D,some college,standard,none,70,84,71
male,group D,high school,standard,completed,78,73,75
female,group D,bachelor's degree,standard,completed,67,76,71
female,group D,some high school,standard,none,83,73,69
female,group C,bachelor's degree,free/reduced,none,52,58,51
female,group B,some college,free/reduced,none,38,55,53
male,group C,associate's degree,free/reduced,completed,65,68,62
female,group B,associate's degree,free/reduced,completed,81,78,94
male,group E,bachelor's degree,standard,none,75,88,66
male,group C,associate's degree,free/reduced,none,60,48,49
male,group C,associate's degree,standard,none,64,65,64
male,group C,some high school,free/reduced,none,46,57,47
female,group E,some college,free/reduced,completed,60,58,60
male,group B,some high school,free/reduced,none,74,65,81
male,group C,associate's degree,free/reduced,none,46,38,43
male,group C,some college,standard,none,97,94,100
female,group C,associate's degree,standard,completed,92,87,91
female,group A,some high school,standard,none,67,98,77
female,group E,some high school,standard,completed,65,63,70
female,group E,associate's degree,standard,none,67,65,83
male,group C,some high school,standard,none,53,46,40
male,group D,some high school,free/reduced,none,36,57,45
female,group E,some high school,standard,none,89,70,65
male,group D,master's degree,free/reduced,none,87,92,86
male,group B,associate's degree,free/reduced,completed,57,56,50
male,group C,high school,free/reduced,completed,69,59,65
female,group C,high school,free/reduced,completed,78,59,78
female,group C,high school,standard,none,57,39,50
male,group D,associate's degree,free/reduced,completed,82,79,79
female,group E,associate's degree,free/reduced,none,55,57,52
female,group E,high school,standard,none,66,63,69
female,group C,some high school,standard,none,59,69,53
female,group B,some high school,free/reduced,none,44,60,60
female,group E,associate's degree,standard,completed,74,78,90
male,group D,associate's degree,standard,none,61,59,68
female,group B,high school,free/reduced,none,55,56,56
male,group E,some high school,standard,none,48,55,61
male,group E,some high school,standard,none,72,67,74
female,group C,master's degree,free/reduced,none,88,88,86
male,group C,high school,standard,none,71,66,64
male,group C,associate's degree,standard,completed,87,90,83
male,group A,associate's degree,standard,completed,80,60,64
female,group C,some college,standard,none,81,74,73
female,group D,high school,free/reduced,none,39,53,39
male,group A,some high school,standard,none,51,44,43
female,group C,associate's degree,standard,completed,66,79,62
female,group C,associate's degree,standard,none,80,81,78
female,group C,associate's degree,standard,none,75,74,84
female,group E,some college,free/reduced,none,67,71,61
male,group C,some high school,free/reduced,none,36,39,38
male,group C,master's degree,standard,none,80,77,63
female,group D,associate's degree,standard,completed,88,69,83
female,group C,high school,standard,none,79,79,67
male,group B,master's degree,standard,none,50,60,49
male,group C,associate's degree,free/reduced,completed,62,55,62
female,group B,some college,standard,completed,80,69,77
male,group B,associate's degree,standard,none,76,89,71
female,group C,associate's degree,standard,none,41,42,34
female,group C,associate's degree,free/reduced,none,71,60,73
male,group E,some high school,free/reduced,completed,68,58,66
male,group C,high school,standard,none,83,77,75
female,group C,bachelor's degree,free/reduced,completed,75,85,91
female,group D,high school,standard,completed,75,88,100
male,group A,some college,standard,none,57,53,50
female,group D,some college,free/reduced,none,38,33,42
male,group B,some college,free/reduced,none,50,63,54
female,group E,associate's degree,free/reduced,none,75,85,73
male,group B,bachelor's degree,standard,none,81,82,85
male,group C,high school,standard,completed,77,91,76
male,group A,some high school,free/reduced,completed,74,75,73
female,group E,high school,standard,none,77,80,61
female,group C,bachelor's degree,standard,completed,72,76,81
male,group C,associate's degree,standard,none,64,56,68
female,group A,high school,free/reduced,none,74,83,83
male,group D,associate's degree,standard,none,59,67,55
male,group B,bachelor's degree,standard,none,98,89,90
female,group E,bachelor's degree,free/reduced,completed,74,72,74
female,group B,bachelor's degree,standard,completed,94,98,91
male,group B,high school,standard,none,45,34,46
female,group A,associate's degree,standard,none,81,89,71
female,group C,some college,standard,none,57,56,53
male,group C,bachelor's degree,standard,none,54,61,43
male,group A,associate's degree,standard,completed,89,82,89
female,group D,associate's degree,free/reduced,completed,86,95,82
male,group C,associate's degree,standard,none,63,65,66
male,group C,some high school,free/reduced,none,33,43,47
female,group C,some college,standard,none,71,64,59
male,group C,master's degree,standard,none,82,81,68
male,group C,bachelor's degree,standard,none,79,70,94
female,group B,some high school,standard,none,87,82,85
female,group B,some high school,free/reduced,completed,72,62,67
male,group E,some high school,standard,completed,100,100,96
male,group E,associate's degree,standard,none,77,76,68
female,group C,associate's degree,free/reduced,none,62,67,63
female,group B,high school,free/reduced,none,49,45,37
female,group D,some college,free/reduced,none,61,52,47
female,group C,bachelor's degree,standard,completed,74,73,70
male,group A,associate's degree,free/reduced,none,72,83,76
female,group B,some college,standard,none,77,77,66
female,group D,some college,standard,none,49,63,53
male,group D,some college,standard,completed,78,83,72
female,group A,high school,standard,none,84,71,69
male,group B,some college,standard,none,76,84,91
female,group B,associate's degree,standard,none,92,84,82
female,group D,bachelor's degree,free/reduced,completed,88,73,86
female,group A,associate's degree,standard,completed,76,91,85
male,group B,associate's degree,standard,none,80,80,77
male,group D,some high school,standard,completed,89,97,96
female,group B,some college,free/reduced,completed,59,48,53
male,group D,some high school,standard,completed,75,78,66
male,group B,high school,standard,none,51,73,48
male,group A,associate's degree,free/reduced,none,71,64,66
male,group B,master's degree,free/reduced,none,81,92,91
male,group D,some high school,standard,completed,67,67,73
male,group E,some college,free/reduced,none,28,28,40
female,group D,associate's degree,free/reduced,completed,75,73,58
female,group C,high school,free/reduced,none,77,80,78
male,group D,some college,standard,completed,79,81,72
female,group B,associate's degree,free/reduced,completed,67,87,84
female,group B,associate's degree,standard,none,66,59,64
female,group E,high school,standard,completed,62,52,63
female,group A,high school,standard,none,77,76,64
male,group A,associate's degree,standard,completed,76,70,76
female,group B,some college,standard,none,100,92,85
female,group A,some high school,free/reduced,none,71,74,61
male,group B,associate's degree,standard,completed,73,76,66
male,group C,some high school,standard,none,52,65,46
female,group C,associate's degree,standard,completed,76,78,78
female,group E,high school,standard,none,72,69,73
female,group D,master's degree,free/reduced,none,81,83,100
female,group C,high school,standard,none,74,83,68
female,group B,high school,standard,none,58,55,63
female,group C,some high school,standard,none,84,100,88
male,group C,high school,standard,none,69,70,69
female,group B,bachelor's degree,standard,none,86,76,80
female,group D,master's degree,free/reduced,none,57,74,64
male,group C,high school,free/reduced,completed,69,77,77
male,group C,some college,standard,completed,75,87,77
male,group C,associate's degree,free/reduced,none,47,52,41
male,group B,bachelor's degree,free/reduced,completed,94,100,100
female,group E,some college,free/reduced,none,86,77,83
female,group D,some college,standard,completed,81,79,65
female,group B,some college,standard,completed,63,65,63
female,group E,associate's degree,standard,completed,77,88,94
female,group C,some high school,free/reduced,none,47,50,67
female,group E,associate's degree,free/reduced,completed,65,82,86
male,group D,high school,standard,none,63,67,68
female,group C,associate's degree,standard,completed,93,96,87
male,group A,some high school,free/reduced,none,76,83,82
male,group B,some college,free/reduced,none,71,74,79
female,group C,some college,free/reduced,completed,42,64,47
male,group D,associate's degree,free/reduced,completed,79,85,82
female,group B,some high school,standard,none,92,96,91
male,group B,some college,standard,completed,100,100,100
female,group D,some college,free/reduced,none,47,54,45
male,group E,some college,standard,none,77,83,63
female,group C,associate's degree,standard,none,57,44,41
female,group B,associate's degree,free/reduced,none,68,69,63
female,group B,associate's degree,standard,none,66,66,75
female,group A,high school,free/reduced,none,84,89,83
female,group E,bachelor's degree,standard,none,80,63,63
male,group B,some college,free/reduced,none,29,48,46
male,group C,some high school,standard,none,66,63,64
male,group B,some high school,standard,completed,49,45,55
female,group C,high school,standard,completed,88,89,90
male,group D,associate's degree,standard,none,43,53,41
female,group D,associate's degree,free/reduced,none,63,69,63
female,group B,associate's degree,free/reduced,none,42,49,44
male,group A,some college,standard,none,85,59,60
male,group B,some college,standard,completed,100,100,96
female,group E,some high school,standard,none,67,64,70
male,group E,high school,standard,none,56,52,60
female,group C,some college,free/reduced,none,58,61,51
female,group C,some high school,free/reduced,none,48,56,63
female,group D,high school,free/reduced,completed,70,74,74
female,group B,some college,free/reduced,completed,56,56,59
female,group E,associate's degree,standard,none,72,84,81
male,group C,master's degree,free/reduced,none,42,38,48
male,group C,bachelor's degree,free/reduced,completed,67,61,77
female,group C,associate's degree,free/reduced,completed,59,76,76
female,group A,some college,free/reduced,none,68,68,79
male,group B,associate's degree,standard,none,82,72,72
male,group D,associate's degree,free/reduced,none,51,53,48
female,group A,some high school,standard,none,56,56,57
male,group C,some college,standard,none,71,79,74
female,group B,bachelor's degree,standard,none,74,77,70
male,group C,some college,free/reduced,none,51,53,58
female,group B,some college,free/reduced,none,43,73,57
male,group C,some college,free/reduced,completed,88,83,75
female,group D,high school,free/reduced,none,55,57,62
male,group B,high school,standard,none,70,73,65
male,group C,high school,free/reduced,none,86,91,99
female,group C,some high school,standard,none,46,52,37
male,group D,some high school,standard,completed,50,67,47
female,group E,bachelor's degree,standard,none,74,83,82
male,group D,high school,free/reduced,none,65,54,59
female,group B,some college,free/reduced,completed,57,70,70
male,group A,high school,standard,none,53,66,58
female,group B,bachelor's degree,standard,completed,75,71,72
male,group C,high school,free/reduced,none,87,71,73
female,group A,some college,standard,none,80,77,79
male,group C,bachelor's degree,free/reduced,none,68,71,70
female,group C,bachelor's degree,free/reduced,none,56,50,47
female,group C,high school,standard,completed,66,66,64
female,group D,associate's degree,standard,completed,48,41,39
male,group B,some college,free/reduced,none,56,47,62
female,group A,some college,free/reduced,none,87,77,81
male,group D,some high school,standard,completed,93,86,69
female,group C,some high school,free/reduced,completed,58,57,59
male,group D,associate's degree,standard,none,82,77,56
female,group C,some college,standard,none,65,67,55
male,group B,some college,free/reduced,none,67,74,70
male,group D,associate's degree,free/reduced,completed,68,92,80
female,group D,associate's degree,standard,none,52,66,53
male,group D,some high school,free/reduced,none,57,63,53
male,group B,associate's degree,standard,completed,95,92,95
female,group C,some high school,standard,none,69,59,55
male,group C,associate's degree,standard,none,68,81,78
male,group A,associate's degree,free/reduced,none,97,100,98
male,group E,master's degree,standard,none,82,68,67
female,group B,some high school,standard,none,71,66,61
male,group E,some high school,standard,none,63,66,60
female,group C,high school,free/reduced,none,64,72,65
male,group B,high school,free/reduced,none,67,67,72
male,group C,high school,free/reduced,completed,67,79,74
male,group E,bachelor's degree,standard,completed,61,73,70
female,group D,high school,standard,none,65,80,58
male,group D,high school,standard,none,91,87,81
male,group D,associate's degree,free/reduced,none,69,79,70
female,group D,some college,free/reduced,none,72,93,86
male,group D,associate's degree,standard,none,67,73,71
female,group B,some high school,free/reduced,completed,72,79,86
female,group C,some college,standard,none,80,78,74
male,group B,some high school,standard,none,54,53,48
female,group E,some high school,standard,none,63,85,68
male,group E,bachelor's degree,standard,completed,73,72,71
female,group A,some high school,standard,none,58,58,50
female,group D,some college,standard,completed,79,75,77
male,group E,some college,standard,none,84,81,70
female,group B,high school,free/reduced,completed,52,62,65
female,group C,bachelor's degree,standard,completed,95,92,82
female,group E,some high school,standard,none,67,77,78
female,group A,associate's degree,free/reduced,none,53,50,50
female,group D,master's degree,standard,none,62,60,49
male,group B,some college,standard,none,59,71,73
female,group E,bachelor's degree,free/reduced,completed,68,83,76
male,group E,some high school,standard,completed,76,71,81
female,group E,some college,standard,completed,73,66,77
male,group C,high school,standard,completed,57,47,63
male,group E,associate's degree,free/reduced,none,60,55,63
female,group D,master's degree,standard,none,82,82,71
female,group C,high school,free/reduced,completed,68,88,79
female,group D,associate's degree,standard,none,65,66,69
male,group A,high school,standard,completed,96,100,90
female,group C,some college,standard,none,41,48,41
male,group B,some college,free/reduced,none,83,81,76
male,group B,master's degree,standard,completed,94,81,69
male,group A,associate's degree,standard,none,82,81,81
female,group D,high school,standard,completed,79,68,64
female,group C,some high school,standard,completed,88,90,87
male,group D,some high school,free/reduced,completed,56,65,68
male,group A,high school,standard,completed,51,68,59
female,group C,high school,standard,none,82,86,93
male,group C,bachelor's degree,standard,completed,71,80,71
female,group D,some college,free/reduced,none,74,63,72
male,group C,some college,standard,none,85,86,86
female,group D,some high school,standard,none,53,59,41
male,group E,bachelor's degree,free/reduced,none,78,70,91
female,group C,associate's degree,free/reduced,none,49,61,57
male,group B,some high school,standard,none,61,67,57
female,group A,associate's degree,standard,none,73,69,62
female,group E,some college,standard,completed,65,57,57
male,group A,some high school,standard,none,61,59,53
male,group E,some college,standard,completed,95,88,93
female,group C,some college,standard,completed,88,91,85
male,group E,some high school,standard,completed,75,68,76
female,group D,bachelor's degree,standard,none,79,84,73
male,group E,bachelor's degree,free/reduced,completed,62,88,61
female,group C,associate's degree,free/reduced,none,80,78,80
female,group D,some college,standard,completed,68,79,60
female,group C,some college,standard,none,74,69,72
female,group C,associate's degree,standard,completed,89,100,86
female,group D,some college,free/reduced,completed,74,56,63
female,group E,some high school,standard,none,86,88,90
male,group E,some college,standard,none,44,47,43
male,group D,associate's degree,standard,completed,97,98,100
male,group C,some college,standard,none,69,60,60
female,group C,some high school,standard,completed,81,77,80
female,group D,associate's degree,standard,none,46,45,45
female,group B,high school,standard,none,54,67,55
female,group B,high school,free/reduced,completed,59,57,61
male,group C,some high school,standard,completed,58,67,63
male,group B,high school,free/reduced,completed,62,71,63
female,group B,associate's degree,free/reduced,none,73,74,73
male,group B,some college,standard,completed,79,82,79
male,group A,high school,standard,none,77,82,77
female,group A,bachelor's degree,standard,none,57,57,48
male,group E,bachelor's degree,standard,completed,69,79,71
female,group C,bachelor's degree,free/reduced,none,87,100,93
male,group C,high school,free/reduced,none,52,50,53
female,group D,some college,standard,none,91,82,95
female,group B,master's degree,standard,completed,83,84,81
female,group E,associate's degree,free/reduced,none,68,64,63
female,group D,some high school,free/reduced,completed,80,94,84
male,group A,some high school,free/reduced,none,76,77,74
female,group C,some college,standard,none,60,64,64
female,group E,bachelor's degree,standard,completed,76,71,80
female,group E,some college,free/reduced,none,64,71,58
male,group C,some college,free/reduced,none,70,66,63
female,group C,some high school,standard,none,74,78,71
male,group B,associate's degree,standard,none,68,78,78
female,group E,bachelor's degree,standard,completed,85,87,70
male,group B,some college,standard,none,93,90,90
male,group E,associate's degree,standard,completed,89,84,83
female,group D,master's degree,free/reduced,none,69,81,64
male,group C,high school,standard,none,56,54,49
female,group C,some college,free/reduced,completed,37,40,43
female,group B,high school,standard,none,73,74,74
female,group B,associate's degree,free/reduced,none,61,64,47
male,group B,some college,free/reduced,none,60,50,65
male,group B,associate's degree,standard,none,77,77,68
female,group D,associate's degree,standard,none,85,83,73
female,group C,some college,standard,none,79,79,85
male,group A,bachelor's degree,standard,none,79,71,68
female,group E,some college,free/reduced,none,49,51,57
female,group E,some high school,free/reduced,none,65,78,68
female,group E,associate's degree,standard,none,69,72,54
male,group E,associate's degree,standard,none,79,78,83
male,group B,high school,standard,completed,87,65,64
male,group C,bachelor's degree,free/reduced,completed,63,70,64
female,group D,bachelor's degree,standard,none,69,67,71
female,group D,high school,standard,completed,77,77,76
female,group B,master's degree,standard,none,70,89,81
male,group D,some high school,standard,none,64,56,64
female,group B,high school,standard,none,47,37,35
female,group B,high school,free/reduced,none,59,68,51
female,group C,bachelor's degree,standard,none,90,81,81
female,group C,associate's degree,standard,none,66,76,77
male,group C,some high school,free/reduced,none,54,58,55
male,group A,some college,free/reduced,completed,75,84,90
female,group E,associate's degree,standard,none,57,66,61
male,group B,some high school,standard,none,51,43,42
male,group B,bachelor's degree,standard,completed,71,82,78
female,group E,associate's degree,standard,none,64,64,63
female,group E,some college,standard,none,53,51,60
male,group E,master's degree,standard,completed,84,85,91
female,group D,some college,standard,completed,94,83,85
male,group D,master's degree,free/reduced,completed,66,79,87
female,group C,associate's degree,standard,completed,71,76,76
male,group A,associate's degree,free/reduced,completed,90,100,93
female,group C,some high school,standard,completed,70,76,64
male,group C,bachelor's degree,free/reduced,none,70,79,73
male,group B,some college,free/reduced,none,53,58,54
male,group D,some high school,free/reduced,none,47,41,53
female,group C,some high school,free/reduced,none,53,67,46
